filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_22_ch_142_strand.fast5	a6936e70-d1a9-4313-af9b-30e1bd523f3f	85331a9859f4761d810f4a1e7b497e769c1e262c	0	142	1	51.882802	5.857570	1764	TRUE	54.368858	1015	3.371514	266	8.485704	0.000000	94.188011	15.246773	94.188011	15.246773
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_22_ch_251_strand.fast5	e82138d3-8e43-4cfa-8764-ad6bef3d06b7	85331a9859f4761d810f4a1e7b497e769c1e262c	0	251	4	50.258300	10.266932	3092	TRUE	53.263612	2187	7.261620	467	11.746787	0.000000	95.755432	14.106827	95.755432	14.106827
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_20_ch_272_strand.fast5	55da651a-6d95-458e-89c6-717edddc6310	85331a9859f4761d810f4a1e7b497e769c1e262c	0	272	3	48.538513	9.350930	2816	TRUE	52.819721	1527	5.069721	273	9.375868	0.000000	97.037872	15.246773	97.037872	15.246773
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_20_ch_466_strand.fast5	19ea81eb-d8ee-4fc2-94ab-29799ec143c1	85331a9859f4761d810f4a1e7b497e769c1e262c	0	466	1	47.007636	12.172311	3666	TRUE	50.209163	2702	8.970784	499	12.858783	0.000000	99.745239	12.966882	99.745239	12.966882
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_14_ch_310_strand.fast5	c60c6aa8-70c9-4b12-844a-2d4f3b65b663	85331a9859f4761d810f4a1e7b497e769c1e262c	0	310	1	32.935923	10.165671	3061	TRUE	36.187915	2082	6.913679	406	10.300179	0.000000	100.315216	11.114470	100.315216	11.114470
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_18_ch_284_strand.fast5	b729312f-f016-47e7-9099-356804787642	85331a9859f4761d810f4a1e7b497e769c1e262c	0	284	1	48.442231	11.461487	3452	TRUE	48.649070	3389	11.254648	443	10.200667	0.000000	93.903023	15.389266	93.903023	15.389266
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_17_ch_360_strand.fast5	120ded8c-624e-4dce-bbda-251d9cff2505	85331a9859f4761d810f4a1e7b497e769c1e262c	0	360	1	47.036853	9.193891	2769	TRUE	47.036853	2769	9.193891	412	9.339975	0.000000	104.020035	12.681895	104.020035	12.681895
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_20_ch_361_strand.fast5	1ab1452d-f976-42d4-9261-6db7f7fca286	85331a9859f4761d810f4a1e7b497e769c1e262c	0	361	1	49.310093	8.737716	2631	TRUE	49.310093	2631	8.737716	303	8.099998	0.000000	87.633324	11.541949	87.633324	11.541949
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_17_ch_157_strand.fast5	936bcd56-3ac2-49f6-b1cc-2c33ea43f53b	85331a9859f4761d810f4a1e7b497e769c1e262c	0	157	2	28.259960	10.968127	3303	TRUE	28.393094	3263	10.834993	524	9.301863	0.000000	98.747787	14.534307	98.747787	14.534307
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_22_ch_331_strand.fast5	eb260887-ca0a-4be5-8de9-e0369ca753f1	85331a9859f4761d810f4a1e7b497e769c1e262c	0	331	1	66.027888	9.866534	2971	TRUE	70.225100	1707	5.669323	353	10.899884	0.000000	97.607841	16.529211	97.607841	16.529211
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_22_ch_67_strand.fast5	3cb84414-332d-401f-986e-a16090cb458d	85331a9859f4761d810f4a1e7b497e769c1e262c	0	67	1	45.767928	9.481740	2855	TRUE	48.912683	1908	6.336985	468	10.573053	0.000000	92.478088	14.106827	92.478088	14.106827
IN_BIO_SL351J_20180705_FAH87710_MN27375_sequencing_run_hela_070518_26999_read_22_ch_132_strand.fast5	73ecb677-28ec-4ecb-94ec-8f2e43638a85	85331a9859f4761d810f4a1e7b497e769c1e262c	0	132	1	49.429615	14.935259	4498	TRUE	51.966467	3734	12.398406	1025	11.605477	0.000000	94.615486	13.251868	94.615486	13.251868
